#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 09 08 10 45 190  4.0  6.0    MM    MM    MM  MM     MM  21.9    MM  17.7   MM   MM    MM
2021 09 08 10 15 180  4.0  5.0    MM    MM    MM  MM     MM  21.6    MM  17.7   MM   MM    MM
2021 09 08 09 45 190  5.0  6.0    MM    MM    MM  MM     MM  22.7    MM  17.6   MM   MM    MM
2021 09 08 09 15 200  4.0  6.0    MM    MM    MM  MM     MM  22.8    MM  17.8   MM   MM    MM
2021 09 08 08 45 210  4.0  6.0    MM    MM    MM  MM     MM  22.8    MM  18.0   MM   MM    MM
2021 09 08 08 00 210  5.0  5.0    MM    MM    MM  MM     MM  22.7    MM  18.2   MM   MM    MM
2021 09 08 07 45 200  5.0  6.0    MM    MM    MM  MM     MM  22.6    MM  18.2   MM   MM    MM
2021 09 08 07 15 200  5.0  6.0    MM    MM    MM  MM     MM  22.3    MM  18.5   MM   MM    MM
2021 09 08 06 45 200  5.0  6.0    MM    MM    MM  MM     MM  22.3    MM  18.7   MM   MM    MM
2021 09 08 06 15 190  5.0  6.0    MM    MM    MM  MM     MM  22.3    MM  18.9   MM   MM    MM
2021 09 08 05 45 200  4.0  5.0    MM    MM    MM  MM     MM  22.2    MM  18.9   MM   MM    MM
2021 09 08 05 15 190  4.0  6.0    MM    MM    MM  MM     MM  22.1    MM  19.2   MM   MM    MM
2021 09 08 04 45 190  5.0  5.0    MM    MM    MM  MM     MM  22.0    MM  19.2   MM   MM    MM
2021 09 08 04 15 190  4.0  5.0    MM    MM    MM  MM     MM  22.0    MM  19.1   MM   MM    MM
2021 09 08 03 30 200  5.0  6.0    MM    MM    MM  MM     MM  22.0    MM  18.7   MM   MM    MM
2021 09 08 03 15 190  5.0  6.0    MM    MM    MM  MM     MM  22.0    MM  18.6   MM   MM    MM
2021 09 08 02 30 200  4.0  5.0    MM    MM    MM  MM     MM  22.0    MM  18.2   MM   MM    MM
2021 09 08 02 15 190  4.0  6.0    MM    MM    MM  MM     MM  21.9    MM  18.0   MM   MM    MM
2021 09 08 01 45 200  3.0  5.0    MM    MM    MM  MM     MM  22.0    MM  17.6   MM   MM    MM
2021 09 08 01 15 180  4.0  4.0    MM    MM    MM  MM     MM  21.9    MM  16.7   MM   MM    MM
2021 09 08 00 45 190  4.0  5.0    MM    MM    MM  MM     MM  22.2    MM  16.8   MM   MM    MM
2021 09 08 00 15 190  4.0  6.0    MM    MM    MM  MM     MM  22.5    MM  16.2   MM   MM    MM
2021 09 07 23 45 190  5.0  6.0    MM    MM    MM  MM     MM  23.1    MM  15.8   MM   MM    MM
2021 09 07 22 30 150  2.0  4.0    MM    MM    MM  MM     MM  24.9    MM  15.1   MM   MM    MM
2021 09 07 21 45 110  2.0  2.0    MM    MM    MM  MM     MM  25.1    MM  13.8   MM   MM    MM
2021 09 07 21 30 100  2.0  2.0    MM    MM    MM  MM     MM  25.0    MM  13.8   MM   MM    MM
2021 09 07 21 15 100  2.0  2.0    MM    MM    MM  MM     MM  25.1    MM  13.3   MM   MM    MM
2021 09 07 20 30 110  1.0  2.0    MM    MM    MM  MM     MM  24.9    MM  13.0   MM   MM    MM
2021 09 07 20 15 140  2.0  2.0    MM    MM    MM  MM     MM  24.9    MM  12.6   MM   MM    MM
2021 09 07 19 45 160  1.0  2.0    MM    MM    MM  MM     MM  25.2    MM  12.3   MM   MM    MM
2021 09 07 19 00 220  2.0  3.0    MM    MM    MM  MM     MM  24.9    MM  12.5   MM   MM    MM
2021 09 07 18 45 240  3.0  4.0    MM    MM    MM  MM     MM  25.0    MM  12.7   MM   MM    MM
2021 09 07 18 15 240  2.0  4.0    MM    MM    MM  MM     MM  24.5    MM  12.9   MM   MM    MM
2021 09 07 17 30 210  3.0  4.0    MM    MM    MM  MM     MM  23.4    MM  13.0   MM   MM    MM
2021 09 07 16 45 280  3.0  5.0    MM    MM    MM  MM     MM  23.6    MM  12.6   MM   MM    MM
2021 09 07 16 15 290  3.0  5.0    MM    MM    MM  MM     MM  23.6    MM  11.7   MM   MM    MM
2021 09 07 15 45 280  3.0  5.0    MM    MM    MM  MM     MM  23.2    MM  12.5   MM   MM    MM
